SA2_MAINCODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_persons_private_dwgs_M,Count_persons_private_dwgs_F,Count_persons_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spo_home_Eng_only_M,Lang_spo_home_Eng_only_F,Lang_spo_home_Eng_only_P,Lang_spo_home_Oth_Lang_M,Lang_spo_home_Oth_Lang_F,Lang_spo_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_instit_0_4_M,Age_per_att_educ_instit_0_4_F,Age_per_att_educ_instit_0_4_P,Age_per_att_educ_insti_5_14_M,Age_per_att_educ_insti_5_14_F,Age_per_att_educ_insti_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_instit_25_M,Age_per_att_educ_instit_25_F,Age_per_att_educ_instit_25_P,High_yr_sch_com_Yr_12_equiv_M,High_yr_sch_com_Yr_12_equiv_F,High_yr_sch_com_Yr_12_equiv_P,High_yr_sch_com_Yr_11_equiv_M,High_yr_sch_com_Yr_11_equiv_F,High_yr_sch_com_Yr_11_equiv_P,High_yr_sch_com_Yr_10_equiv_M,High_yr_sch_com_Yr_10_equiv_F,High_yr_sch_com_Yr_10_equiv_P,High_yr_sch_comp_Yr_9_equiv_M,High_yr_sch_comp_Yr_9_equiv_F,High_yr_sch_comp_Yr_9_equiv_P,High_yr_sch_comp_Yr_8_below_M,High_yr_sch_comp_Yr_8_below_F,High_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
101021007,1917,1877,3797,112,81,197,237,216,448,95,81,180,62,50,118,142,154,294,206,224,426,275,286,560,344,324,667,291,292,582,129,107,234,30,51,83,6,8,16,1894,1848,3741,22,29,51,46,35,78,0,0,0,0,0,0,48,35,79,1468,1405,2877,207,231,447,1633,1582,3215,62,72,135,1641,1574,3215,27,18,45,195,181,374,65,62,126,8,15,25,25,64,92,611,734,1348,91,86,183,439,371,809,130,101,234,72,59,125,3,6,8
101021008,4050,4156,8205,278,242,517,556,533,1094,305,277,584,273,266,539,527,557,1081,566,562,1126,581,626,1201,506,537,1044,301,324,624,132,167,304,24,59,83,9,8,24,4004,4135,8144,46,18,63,235,251,488,11,6,14,0,0,0,241,260,498,3153,3155,6309,639,691,1333,3286,3317,6605,541,581,1118,3637,3706,7344,47,29,76,508,476,982,200,182,387,79,85,157,98,149,244,1476,1610,3082,246,215,463,840,823,1661,226,242,466,195,195,389,11,20,33
101021009,5512,5409,10921,415,341,754,474,450,925,222,212,432,354,405,755,1095,1124,2218,849,722,1573,756,675,1433,603,578,1178,407,419,820,216,296,514,113,195,314,27,37,67,5231,5160,10386,277,256,532,140,156,301,7,5,9,3,0,5,144,161,310,3643,3622,7269,1351,1341,2691,3909,3815,7722,1115,1177,2296,4388,4351,8740,77,47,121,419,424,838,147,141,287,102,133,231,201,335,540,2325,2470,4797,291,206,501,959,896,1862,254,235,490,252,279,524,42,44,89
101021010,2527,2342,4870,200,163,361,230,221,443,118,114,234,182,181,365,498,488,981,371,282,655,385,331,716,300,293,597,152,149,307,71,83,161,10,42,51,8,20,26,2362,2290,4653,164,53,211,94,77,176,0,0,0,4,3,4,101,84,180,1722,1588,3309,601,584,1182,1817,1723,3541,504,466,970,2032,1905,3941,41,19,62,208,191,397,83,82,161,47,45,92,125,164,288,1179,1158,2336,150,133,281,421,358,783,100,88,186,52,75,128,11,11,17
101021011,9032,8512,17547,551,505,1055,1321,1244,2568,606,559,1162,430,414,847,956,931,1883,1197,1271,2464,1530,1488,3017,1322,1169,2496,820,681,1495,250,201,452,49,52,104,53,54,102,8307,8218,16527,725,298,1020,167,152,313,3,0,3,6,10,11,174,158,330,6522,6403,12930,1072,1097,2171,7175,7041,14213,485,511,993,7407,7328,14736,127,110,230,1167,1077,2246,438,415,850,118,138,259,193,355,549,3539,3952,7487,432,363,797,1372,1191,2560,344,263,605,191,124,318,15,4,22
101021012,6112,6277,12388,432,406,834,1065,1009,2069,540,482,1018,352,368,722,690,760,1453,853,996,1854,1130,1169,2294,635,637,1274,284,273,558,117,132,251,20,40,63,16,23,42,6100,6274,12381,6,0,10,161,168,331,4,0,4,6,0,5,169,173,347,4899,5061,9960,991,964,1955,5260,5354,10608,651,693,1342,5663,5768,11428,93,97,188,1001,970,1972,442,388,827,128,137,270,234,306,540,2842,3006,5844,315,313,635,877,951,1828,240,227,469,146,122,265,7,3,17
101031013,1179,1168,2344,74,67,137,124,146,272,62,58,121,56,39,95,111,105,218,118,110,226,175,164,337,199,177,376,171,159,338,71,79,142,27,62,90,7,3,5,1140,1114,2254,37,53,96,23,18,46,0,0,0,0,0,0,28,20,47,996,940,1937,85,109,192,1074,1042,2114,29,38,65,1067,1044,2113,20,11,28,110,132,247,33,38,71,5,12,15,14,28,41,283,344,631,78,75,150,305,288,595,112,86,198,93,70,164,13,3,13
101031014,3351,3282,6630,173,158,331,397,337,739,210,190,404,199,157,358,405,364,773,402,353,754,458,472,929,439,431,875,357,369,722,233,271,507,71,166,240,12,13,23,3072,3180,6257,273,97,370,125,90,216,3,3,6,0,0,3,137,90,230,2557,2501,5055,490,470,960,2725,2764,5491,198,253,449,2803,2864,5665,45,40,84,351,314,663,122,116,242,25,48,80,55,137,193,963,1086,2047,197,193,391,753,776,1525,230,211,444,147,168,319,15,13,27
101031015,1825,1771,3595,77,76,150,259,245,510,112,113,225,67,80,143,140,142,282,200,214,410,280,287,572,298,280,576,256,222,486,109,81,197,20,19,42,27,23,54,1702,1664,3362,124,108,233,37,34,68,3,0,4,0,0,0,36,38,74,1372,1315,2694,216,208,429,1557,1509,3072,69,62,138,1574,1516,3090,15,15,30,222,205,429,78,71,149,4,15,20,30,53,79,578,670,1242,86,101,184,431,312,744,114,117,224,70,49,116,3,3,6
101031016,11009,8950,19960,418,363,787,1348,1235,2583,584,418,1002,955,769,1724,1764,1405,3164,1572,1430,2999,1495,1316,2813,1514,1106,2617,1021,711,1725,287,158,444,59,40,102,373,303,672,5110,4568,9678,5898,4384,10276,110,80,187,3,7,14,0,0,0,117,83,202,7378,6015,13393,1210,1087,2296,8078,6630,14708,568,526,1100,8231,6745,14978,117,99,211,1080,979,2056,299,229,527,122,119,241,209,334,544,4741,4199,8942,501,337,835,1445,987,2426,261,184,446,136,77,210,7,5,15
